Execution Time in Seconds,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0.002,0,0,0,0,0,0,0,0,0,0.0002
100,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0007
1000,0.007,0.005,0.001,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.0023
10000,0.155,0.166,0.144,0.163,0.152,0.146,0.145,0.148,0.14,0.143,0.1502
100000,17.087,17.402,17.276,17.288,17.383,17.479,17.386,17.064,17.42,17.258,17.3043
,,,,,,,,,,,
Total Comparisons of Elements,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,45,45,45,45,45,45,45,45,45,45,45
100,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950
1000,499500,499500,499500,499500,499500,499500,499500,499500,499500,499500,499500
10000,49995000,49995000,49995000,49995000,49995000,49995000,49995000,49995000,49995000,49995000,49995000
100000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000
,,,,,,,,,,,
Total Number of Array Accesses,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,206,170,142,194,186,186,198,186,154,194,181.6
100,20372,20036,18992,19392,20400,19568,20888,19404,19348,19352,19775.2
1000,1940888,1961232,2013948,2027500,1992092,2006060,1976400,2015368,2011660,2034632,1997978
10000,200013404,199335140,199364344,199803516,200127644,200257000,199624752,200219088,199087020,199905760,199773766.8
100000,20006464292,20000290904,20033491760,19990882608,20011646860,19982789828,20055448124,20042138284,20014101768,19988572980,20012582741
