Execution Time in Seconds,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0.016,0.01,0.021,0.003,0.025,0.008,0.011,0.002,0.003,0.003,0.0102
100,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.002,0.002,0.0026
1000,0.004,0.001,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.002,0.0018
10000,0.002,0.003,0.002,0.002,0.006,0.002,0.003,0.003,0.002,0.003,0.0028
100000,0.004,0.005,0.005,0.003,0.004,0.004,0.004,0.005,0.009,0.007,0.005
,,,,,,,,,,,
Total Comparisons of Elements,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,0,0
100000,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
Total Number of Array Accesses,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,1000034,1000034,1000034,1000034,1000034,1000034,1000034,1000034,1000034,1000034,1000034
100,1000304,1000304,1000304,1000304,1000304,1000304,1000304,1000304,1000304,1000304,1000304
1000,1003004,1003004,1003004,1003004,1003004,1003004,1003004,1003004,1003004,1003004,1003004
10000,1030004,1030004,1030004,1030004,1030004,1030004,1030004,1030004,1030004,1030004,1030004
100000,1300004,1300004,1300004,1300004,1300004,1300004,1300004,1300004,1300004,1300004,1300004
