Execution Time in Seconds,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0,0,0,0,0,0,0,0,0,0,0
100,0.001,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.0006
1000,0.013,0.005,0.006,0.005,0.005,0.005,0.005,0.001,0.001,0.001,0.0047
10000,0.128,0.124,0.128,0.118,0.134,0.12,0.131,0.139,0.132,0.136,0.129
100000,12.33,12.267,12.305,12.355,12.364,12.309,12.439,12.411,12.345,12.326,12.3451
,,,,,,,,,,,
Total Comparisons of Elements,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,37,42,48,45,45,37,42,45,42,45,42.8
100,4032,3699,4118,3487,3799,4032,4118,3942,4239,3750,3921.6
1000,381415,382872,372487,373998,383838,379950,386235,388135,391422,386712,382706.4
10000,37273987,37649550,37609758,37584855,37569902,37723987,37614735,37379712,37614735,37758648,37577986.9
100000,3744544059,3742889918,3751449579,3755344275,3745295582,3758086878,3751299662,3755793272,3734904699,3753946879,3749355480
,,,,,,,,,,,
Total Number of Array Accesses,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,142,164,224,202,198,154,164,166,192,194,180
100,18036,16042,18976,15606,17186,18348,19136,17824,19246,16844,17724.4
1000,1775554,1760916,1722078,1735792,1763524,1765884,1795666,1802946,1823940,1765336,1771163.6
10000,173845098,175314924,175850176,175624290,175648248,175947474,175421898,174313368,175552350,175344528,175286235.4
100000,17477140014,17439127160,17499338742,17519481130,17462126608,17511595832,17495527052,17514271092,17412497398,17508905826,17484001085
