Execution Time in Seconds,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0,0,0,0,0,0,0,0,0,0,0
100,0,0.001,0,0.001,0,0,0,0,0,0.001,0.0003
1000,0,0.001,0,0.001,0,0.001,0,0,0.001,0,0.0004
10000,0.004,0.002,0.003,0.002,0.001,0.002,0.002,0.002,0.001,0.002,0.0021
100000,0.023,0.015,0.016,0.021,0.016,0.025,0.018,0.021,0.024,0.015,0.0194
,,,,,,,,,,,
Total Comparisons of Elements,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,60,66,72,58,62,64,70,62,64,58,63.6
100,1242,1262,1278,1260,1260,1284,1274,1230,1244,1272,1260.6
1000,19238,19182,19156,19072,19176,19190,19122,19118,19184,19224,19166.2
10000,258462,258490,258504,258436,258408,258490,258264,258246,258458,258442,258420
100000,3250418,3249068,3249850,3249958,3248996,3250332,3250908,3249662,3250552,3248840,3249858.4
,,,,,,,,,,,
Total Number of Array Accesses,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,220,244,268,212,228,236,260,228,236,212,234.4
100,4768,4848,4912,4840,4840,4936,4896,4720,4776,4888,4842.4
1000,74952,74728,74624,74288,74704,74760,74488,74472,74736,74896,74664.8
10000,1013848,1013960,1014016,1013744,1013632,1013960,1013056,1012984,1013832,1013768,1013680
100000,12801672,12796272,12799400,12799832,12795984,12801328,12803632,12798648,12802208,12795360,12799433.6
