Execution Time in Seconds,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0.001,0,0,0.001,0,0,0.0002
1000,0.006,0.001,0.002,0.001,0.001,0.003,0.015,0.001,0,0.001,0.0031
10000,0.029,0.032,0.028,0.031,0.031,0.032,0.031,0.03,0.033,0.029,0.0306
100000,3,2.809,2.806,2.821,2.878,2.852,2.798,2.833,2.818,2.771,2.8386
,,,,,,,,,,,
Total Comparisons of Elements,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,9,9,9,9,9,9,9,9,9,9,9
100,99,99,99,99,99,99,99,99,99,99,99
1000,999,999,999,999,999,999,999,999,999,999,999
10000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
100000,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
,,,,,,,,,,,
Total Number of Array Accesses,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,64,46,54,76,66,58,70,92,58,58,64.2
100,5164,4768,5180,5000,5290,5492,5148,5048,5304,4706,5110
1000,486478,510412,494338,508672,506128,511006,515188,505644,507864,510404,505613.4
10000,49823428,49920666,50211526,50407618,50558698,49809298,49813368,49844718,49870780,49387480,49964758
100000,5018959810,4993183474,5010601838,5005083010,5000060776,5000633320,5009879790,4987972146,5011673614,5007156538,5004520432
