Execution Time in Seconds,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0,0,0,0,0,0,0,0.001,0,0,0.0001
100,0,0.001,0,0,0,0,0,0,0,0,0.0001
1000,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0.0005
10000,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003
100000,0.043,0.063,0.027,0.025,0.027,0.044,0.022,0.035,0.028,0.02,0.0334
,,,,,,,,,,,
Total Comparisons of Elements,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,34,34,34,34,34,34,34,34,34,34,34
100,672,672,672,672,672,672,672,672,672,672,672
1000,9976,9976,9976,9976,9976,9976,9976,9976,9976,9976,9976
10000,133616,133616,133616,133616,133616,133616,133616,133616,133616,133616,133616
100000,1668928,1668928,1668928,1668928,1668928,1668928,1668928,1668928,1668928,1668928,1668928
,,,,,,,,,,,
Total Number of Array Accesses,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,170,170,170,170,170,170,170,170,170,170,170
100,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360
1000,49880,49880,49880,49880,49880,49880,49880,49880,49880,49880,49880
10000,668080,668080,668080,668080,668080,668080,668080,668080,668080,668080,668080
100000,8344640,8344640,8344640,8344640,8344640,8344640,8344640,8344640,8344640,8344640,8344640
