Execution Time in Seconds,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0.001,0,0,0,0.0001
1000,0,0.001,0,0,0.001,0,0.001,0,0.001,0,0.0004
10000,0.005,0.003,0.002,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.002
100000,0.011,0.01,0.012,0.012,0.013,0.012,0.013,0.011,0.013,0.013,0.012
,,,,,,,,,,,
Total Comparisons of Elements,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,25,26,23,22,28,23,33,25,24,29,25.8
100,652,751,579,569,564,675,552,597,763,587,628.9
1000,11186,10490,10621,10964,11999,12008,11974,10888,10148,10969,11124.7
10000,149870,163069,153208,158849,158637,153975,156242,149640,153572,155914,155297.6
100000,2012809,2022797,2131288,1908773,1993062,2015199,1993781,1941074,2040541,1944080,2000340.4
,,,,,,,,,,,
Total Number of Array Accesses,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,105,106,75,90,116,103,117,85,92,125,101.4
100,2536,1843,1867,1957,1976,2091,1824,2273,2427,1987,2078.1
1000,38538,35110,32985,38764,44143,38452,40298,37328,31312,35057,37198.7
10000,504550,529053,513048,475665,464945,476615,508294,472844,489952,472258,490722.4
100000,6518637,5869121,6581312,6207921,6583770,6599203,6385221,6248778,6802301,6210680,6400694.4
