Execution Time in Seconds,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0,0,0,0,0.001,0,0,0,0,0.001,0.0002
100,0,0,0,0,0.001,0,0,0,0,0.001,0.0002
1000,0,0.001,0,0,0.001,0.001,0,0,0,0,0.0003
10000,0.001,0.001,0,0.001,0,0,0,0,0.001,0,0.0004
100000,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.0032
,,,,,,,,,,,
Total Comparisons of Elements,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,0,0
100000,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
Total Number of Array Accesses,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280
100,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440
1000,26040,26040,26040,26040,26040,26040,26040,26040,26040,26040,26040
10000,242040,242040,242040,242040,242040,242040,242040,242040,242040,242040,242040
100000,2402040,2402040,2402040,2402040,2402040,2402040,2402040,2402040,2402040,2402040,2402040
