Execution Time in Seconds,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0.001,0,0,0,0,0,0,0,0,0,0.0001
100,0.001,0.001,0,0.001,0,0.001,0,0,0.001,0,0.0005
1000,0.005,0.004,0.003,0.003,0.004,0.001,0,0,0.001,0.001,0.0022
10000,0.058,0.06,0.061,0.06,0.063,0.06,0.059,0.058,0.06,0.061,0.06
100000,5.277,5.26,5.224,5.25,5.271,5.348,5.408,5.364,5.451,5.29,5.3143
,,,,,,,,,,,
Total Comparisons of Elements,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,45,45,45,45,45,45,45,45,45,45,45
100,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950
1000,499500,499500,499500,499500,499500,499500,499500,499500,499500,499500,499500
10000,49995000,49995000,49995000,49995000,49995000,49995000,49995000,49995000,49995000,49995000,49995000
100000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000,4999950000
,,,,,,,,,,,
Total Number of Array Accesses,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,90,90,90,90,90,90,90,90,90,90,90
100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
1000,999000,999000,999000,999000,999000,999000,999000,999000,999000,999000,999000
10000,99990000,99990000,99990000,99990000,99990000,99990000,99990000,99990000,99990000,99990000,99990000
100000,9999900000,9999900000,9999900000,9999900000,9999900000,9999900000,9999900000,9999900000,9999900000,9999900000,9999900000
